2736,7549,6613,2329,7492,204,9072,6567,1954,2717,7380,9500,6632,5008,6843,7725,1180,3197,9025,119,5605,9627,3843,2539,5289,4422,8826,4988,5753,2667,9586,696,4353,7554,1113,5265,8920,7363,1487,7806,4927,9172,7070,4108,5638,614,4025,6976,8568,243,5543,8661,7558,8395,7000,1155,4637,3312,4452,6171,2308,3862,9654,9334,572,3364,7284,1571,9351,3651,6123,2022,3891,8118,9105,5066,856,5373,8601,8458,5253,7726,7201,8280,6120,9420,5400,9279,6182,6650,5455,4622,4606,338,2349,6430,5333,3327,4155,8974
5707,3834,598,7424,8829,6338,2738,8108,4804,2893,4267,1966,6265,8558,605,6047,5219,4945,2838,1103,3920,641,4642,3565,3147,8978,8374,2791,9528,4623,8658,1549,7541,7624,8892,3721,2382,3502,1685,1202,1438,5238,6187,1284,1978,3440,6768,7553,6497,5531,3118,7586,754,128,703,2665,791,1340,4250,2276,7783,4968,5870,6993,360,480,7841,9320,2114,7025,5952,6459,7075,801,418,1085,3226,9969,2961,2414,2146,3822,5170,1429,1784,6573,2442,9710,4120,2111,6867,845,3230,8323,9024,9210,1357,1173,9918,990
6167,9615,5533,2317,8333,1140,3047,4437,9434,5139,1691,7869,1783,6301,4705,3052,8963,2897,4730,4862,9883,6269,6384,4326,3276,2782,2863,8732,4624,8614,1100,5685,5087,8951,9181,3346,2358,1850,6566,1754,4186,6847,1187,1050,383,2332,8070,1205,2685,2287,3387,9237,3392,7666,9958,4104,9432,9082,1652,5244,8861,7551,575,9504,3691,4228,3600,5302,7844,8010,860,2437,6449,5933,1371,3379,5743,6951,6700,1323,4876,6340,3980,140,2856,3218,3582,8485,6666,2787,6498,4500,8162,7922,8429,7018,3782,5241,4636,4709
4842,1704,7411,4387,4350,1986,9223,319,9513,6675,5980,2324,4484,4549,1747,4142,1720,8983,5637,8539,980,4979,7903,7893,2593,8763,4089,7135,9796,574,9684,1226,5584,2993,6274,1247,7287,7860,9349,0,9278,6262,3499,5972,3519,6918,9066,450,3850,2068,7477,8337,8422,1985,5552,827,4592,5322,6040,9714,8756,7631,6688,896,672,2915,4166,9457,8461,9618,4631,7147,6322,4600,3532,476,4703,4918,9224,4663,1184,5332,260,4180,3081,3939,1573,7177,1353,4132,1792,219,511,849,8941,253,305,682,9310,6457
6414,7167,5150,3558,649,494,8743,7681,6125,9243,9725,2976,9920,5866,7044,1053,7311,8804,45,9599,1214,6517,2934,5528,5872,1769,2687,7065,1768,5020,7705,1481,8837,5378,5284,586,2790,457,7450,2682,7464,6272,2391,4800,9942,994,4331,6530,946,8456,1479,4272,7342,3028,157,8929,6549,4613,2465,7370,2840,5409,7270,3175,8303,2453,6294,7846,1854,9813,6282,5311,3510,9302,3462,9831,2283,5321,6676,9786,1010,3886,4738,6789,4404,5644,3728,3231,9468,6776,3491,2039,9323,806,9787,832,3391,411,9463,5420
976,2150,7822,3545,8264,6132,335,3553,780,3127,7797,4906,9372,257,1487,8364,4573,1434,380,7525,6046,5383,3397,2201,3163,3881,7870,9724,4414,9131,1687,4600,8540,2039,4248,6664,4866,3399,3316,2481,3491,8910,8253,2596,451,771,5331,1936,8987,1696,7329,8317,4074,973,9636,2163,3018,7766,7132,5933,6452,92,6649,6898,6314,438,2514,9176,203,5180,4882,4714,6541,9362,2908,1202,4044,427,1548,8875,8867,48,3623,512,4525,5949,6113,4811,4567,5797,4546,476,3288,3716,3058,6660,8132,7540,9000,1372
7256,4347,6226,2165,7949,6186,6487,1787,9133,7790,6356,2391,2008,4942,1904,1055,4289,1365,7717,2561,9457,8355,3733,6613,6110,7440,7597,2289,9239,3988,5271,4947,119,7768,6998,6633,3686,4922,1826,1350,6417,602,6838,1398,9458,7353,2395,8583,5307,7247,859,9839,4673,6714,6740,1053,7226,4831,650,4772,2878,7214,386,7514,739,6513,7694,2183,8368,5027,3318,2423,6421,2816,6177,1082,7354,7325,3461,4784,3328,306,2210,8063,9875,2915,3501,2765,6759,4753,9863,7222,8757,8490,5401,1818,4428,803,3026,5921
2798,8957,5619,6674,3247,2273,4144,8909,2103,6725,9664,6815,7400,4806,9445,3993,1563,5815,654,2566,2448,7451,7587,5786,8624,6968,8376,8196,6648,9015,6319,4769,4382,578,8832,8514,1217,3382,4999,3995,4774,7398,6912,961,3275,1089,2498,389,4401,3865,5317,781,4697,9741,1333,7477,8335,4457,5833,964,8408,760,3966,2251,9141,1844,734,4123,4724,707,2288,4468,9793,7185,6472,8974,2980,8361,4517,85,6488,1221,2928,4435,4843,1080,6902,8782,7169,3215,2584,1297,1484,8850,5836,6629,9297,2805,1920,247
1060,4179,6379,673,6283,7304,544,6616,7888,795,3232,1684,7254,1147,2639,8259,8517,2735,8117,7829,9214,7500,2462,341,1285,9146,4089,8743,4241,7420,2770,52,2843,5219,2700,6795,5540,994,7324,3874,2594,1551,9797,9089,9495,6425,8366,8379,5575,4022,1906,804,2774,7031,2544,4760,825,720,3721,326,1593,2705,741,830,4469,8605,791,638,6617,3753,6219,8552,2852,1691,7180,5588,7164,9205,9763,3261,6024,6620,2243,7879,8914,3255,8497,1378,8414,5376,9544,8846,2034,1084,8085,4665,5262,7960,2750,6030
9201,2943,2181,9690,8113,1767,2522,6271,9224,3086,9096,1766,2615,6588,6886,7445,884,7193,4427,1497,9382,8788,2442,316,3071,811,7086,8707,2048,9612,8771,3639,9954,4062,7442,9258,9108,5150,4122,1648,1885,1327,7714,3408,4990,8899,978,7523,9505,1822,4716,7401,7218,223,9045,1412,5356,8929,8908,3334,6688,1805,2222,1281,8381,2262,1359,2802,2177,1536,6386,7615,975,8350,8005,3090,751,2282,8182,4606,905,2597,2967,419,4698,3292,6289,1619,9738,5589,1671,6776,7690,3980,6831,2064,1831,283,4287,1824
3703,1203,1431,5944,3069,9990,99,4450,2723,265,2578,2120,84,43,7722,6415,347,2925,945,8571,6158,8051,8072,4249,8655,2501,210,6951,3587,9637,7476,777,2786,719,8856,5004,1016,1176,9079,4417,4083,508,6860,9934,5758,4473,655,4318,5258,7322,3597,4020,2161,7805,9374,433,5280,1439,3672,7688,7635,3781,9463,9067,8714,3013,7465,4792,3303,5955,6751,6558,515,2619,5177,8695,5975,3142,7437,885,1862,8778,9138,9602,2045,2469,207,4577,7067,579,4344,8797,4564,8619,2029,8468,7281,3006,2038,9494
6023,3081,3384,3885,3353,5470,3141,1981,6364,9252,2159,9712,9422,6454,5231,7768,1986,1751,6186,3060,342,9720,4576,1471,4086,5226,5461,8398,6616,6299,6363,1787,813,4777,3250,5075,4829,5801,2554,1080,3761,1027,6051,7134,1601,8206,559,9663,3435,304,7135,2406,9714,3695,877,1534,4581,3984,6153,1400,2223,2348,7530,7968,8439,2859,8098,4111,511,8591,6978,3782,1552,691,9187,1755,2957,8571,5705,2638,1452,7260,7225,9737,9092,4137,9588,685,1496,8412,5847,863,5439,3992,9051,8841,7369,6091,4101,8654
